('北京市+北京', '0.975791')
('溥伟+恭亲王七百件珍藏', '0.542308')
('恭王府前身+睿庙籍没', '0.542202')
('周总理+曲径通幽', '0.542097')
('恭王府府邸前身+意指和珅家财宝', '0.541706')
('厉善麟祖父厉子嘉+日本首相桥本龙太郎先生', '0.541082')
('厉家菜+恭王府银安殿', '0.540881')
('亲王府+谷牧同志', '0.540875')
('嘉庆皇帝+恭亲王七百件珍藏', '0.54079')
('戏楼南端明道斋+恭亲王七百件珍藏', '0.540701')
('亲王府+府邸产权', '0.540664')
('山中定次郎+康熙', '0.540318')
('周恩来总理+整座府邸', '0.540303')
('其府邸建筑+此处私宅', '0.540213')
('复辟+嘉庆', '0.539834')
('北京恭王府+乾隆', '0.539634')
('奕訢+康熙', '0.539525')
('厉善麟+恭亲王七百件珍藏', '0.539351')
('其府邸建筑+恭王府', '0.539328')
('谷牧同志+此处私宅', '0.53923')
('利滚利+此处私宅', '0.539209')
('百名能工巧匠+此处私宅', '0.538928')
('明显标志+郭沫若人', '0.538912')
('恭王府府邸前身+恭王府管理处', '0.538884')
('恭王府人+厉家菜', '0.538796')
('恭王府管理中心+恭亲王', '0.538655')
('恭王府府邸前身+东路后进院落正房名', '0.538401')
('周恩来总理+乾隆五十四年固伦和孝公主', '0.538173')
('谷牧同志+乾隆', '0.537908')
('睿庙籍没+百名能工巧匠', '0.537684')
('谷牧同志+复辟', '0.537603')
('嘉乐堂+我国十大元帅', '0.537572')
('恭王府前身+恭王府和珅府邸恭王府', '0.537527')
('北京+嘉庆帝', '0.536998')
('这座宅第+嘉庆帝', '0.536923')
('乾隆五十四年固伦和孝公主+原国务院副总理李岚清同志', '0.53685')
('山中定次郎+恭王府', '0.536475')
('厉家菜+政协委员', '0.536279')
('山中定次郎+11月中央政治局常委李瑞环同志', '0.536119')
('周总理+殿堂屋顶', '0.535949')
('乾隆五十四年固伦和孝公主+乾隆', '0.535946')
('永璘+浩浩荡荡太监队伍', '0.535781')
('厉善麟+此处私宅', '0.53555')
('府邸+驸马', '0.535512')
('明显标志+厉子嘉', '0.535498')
('明显标志+厉善麟', '0.535498')
('浩浩荡荡太监队伍+百名能工巧匠', '0.53549')
('全部财富+我国十大元帅', '0.535471')
('11月中央政治局常委李瑞环同志+百名能工巧匠', '0.535345')
('溥伟+全部财富', '0.535314')
('恭王府前身+郭沫若人', '0.535296')
('厉子嘉+百名能工巧匠', '0.535238')
('厉善麟+百名能工巧匠', '0.535238')
('嘉庆皇帝+殿堂屋顶', '0.53502')
('浩浩荡荡太监队伍+殿堂屋顶', '0.534674')
('明显标志+此扇面', '0.534362')
('周恩来总理+厉子嘉任务', '0.534356')
('日本首相桥本龙太郎先生+周总理', '0.533965')
('日本首相桥本龙太郎先生+此处私宅', '0.533482')
('驸马+恭亲王奕忻', '0.533438')
('厉善麟祖父厉子嘉+我国十大元帅', '0.532938')
('东路前院正房名+百名能工巧匠', '0.532878')
('明显标志+恭亲王七百件珍藏', '0.532736')
('这座宅第+原国务院副总理李岚清同志', '0.532632')
('恭王府人+曲径通幽', '0.532597')
('原国务院副总理李岚清同志+唐颜真卿告身帖', '0.532549')
('原国务院副总理李岚清同志+谷牧领导同志', '0.532491')
('永璘+此扇面', '0.531908')
('小恭王溥伟+原国务院副总理李岚清同志', '0.531877')
('明显标志+百名能工巧匠', '0.531863')
('中国+我国十大元帅', '0.531828')
('恭王府+驸马', '0.5313')
('这座宅第+日本', '0.531292')
('厉善麟祖父厉子嘉+东路后进院落正房名', '0.53119')
('恭王府几座主要厅堂内檐装修+殿堂屋顶', '0.530788')
('中国音乐学院+复辟', '0.530657')
('中国+恭王府', '0.530542')
('山中定次郎+嘉庆帝', '0.530167')
('嘉庆皇帝+和珅', '0.529954')
('11月中央政治局常委李瑞环同志+恭王府银安殿', '0.529908')
('谷牧领导同志+全部财富', '0.529897')
('编辑+溥伟', '0.529835')
('中央政治局常委李岚清同志+谷牧领导同志', '0.529747')
('唐颜真卿告身帖+曲径通幽', '0.529367')
('周恩来总理+复辟', '0.529253')
('全部财富+此处私宅', '0.528987')
('溥伟+殿堂屋顶', '0.528739')
('明显标志+周恩来总理', '0.528598')
('永璘+意指和珅家财宝', '0.527989')
('睿庙籍没+郭沫若人', '0.527955')
('谷牧同志+此扇面', '0.527866')
('溥伟+恭王府银安殿', '0.527818')
('我国十大元帅+乾隆', '0.527571')
('厉子嘉+唐颜真卿告身帖', '0.527507')
('厉家菜+辅仁大学', '0.527286')
('北京市+嘉乐堂', '0.527247')
('日本首相桥本龙太郎先生+恭亲王奕忻', '0.527105')
('厉家菜+谷牧领导同志', '0.527088')
('东路前院正房名+恭王府花园', '0.526932')
('编辑+北京市', '0.526682')
('乾隆五十四年固伦和孝公主+睿庙籍没', '0.525881')
('浩浩荡荡太监队伍+原国务院副总理李岚清同志', '0.525842')
('浩浩荡荡太监队伍+僧格林沁亲王', '0.525517')
('厉子嘉+小恭王溥伟', '0.525289')
('唐颜真卿告身帖+清代嘉庆年间礼亲王昭梿', '0.525165')
('恭王府府邸前身+府邸', '0.525101')
('永璘+僧格林沁亲王', '0.524792')
('利滚利+郭沫若人', '0.524714')
('该寺院+此处私宅', '0.524475')
('厉善麟祖父厉子嘉+嘉庆', '0.523989')
('此扇面+东路后进院落正房名', '0.523937')
('僧格林沁亲王+谷牧领导同志', '0.523812')
('亲王府+康熙', '0.523769')
('恭王府人+周恩来总理', '0.523451')
('日本+此处私宅', '0.523035')
('永璘+恭王府', '0.522973')
('亲王府+浩浩荡荡太监队伍', '0.522891')
('中央政治局常委李岚清同志+恭王府前半部', '0.522566')
('东路前院正房名+此扇面', '0.522342')
('该寺院+殿堂屋顶', '0.522114')
('恭王府+嘉乐堂', '0.522062')
('溥伟+曲径通幽', '0.522036')
('这座宅第+郭沫若人', '0.522032')
('2008年恭王府+恭王府管理处', '0.521483')
('原国务院副总理李岚清同志+郭沫若人', '0.521259')
('著名学者侯仁之先生+我国十大元帅', '0.521248')
('山中定次郎+东路后进院落正房名', '0.520581')
('厉子嘉+恭王府人', '0.520421')
('恭王府人+厉善麟', '0.520421')
('周恩来总理+政协委员', '0.520375')
('嘉庆皇帝+复辟', '0.519574')
('府邸花园两部分+恭王府几座主要厅堂内檐装修', '0.519295')
('编辑+恭亲王', '0.519119')
('八十年代初恭王府+厉家菜', '0.518668')
('辅仁大学+北京市', '0.518444')
('府邸花园两部分+著名学者侯仁之先生', '0.518347')
('东路前院正房名+睿庙籍没', '0.518289')
('厉善麟祖父厉子嘉+恭王府', '0.518216')
('北京+和珅', '0.518183')
('府邸+此处私宅', '0.518144')
('乾隆五十四年固伦和孝公主+殿堂屋顶', '0.518132')
('恭王府+曲径通幽', '0.51766')
('亲王府+唐颜真卿告身帖', '0.51745')
('这座宅第+唐颜真卿告身帖', '0.51739')
('咸丰皇帝+府邸', '0.517344')
('厉家菜+其府邸建筑', '0.517216')
('厉善麟+恭王府银安殿', '0.517163')
('北京市+和珅', '0.516343')
('中国音乐学院+奕訢', '0.516025')
('谷牧同志+全部财富', '0.516004')
('厉善麟祖父厉子嘉+恭王府几座主要厅堂内檐装修', '0.515545')
('和珅房屋+嘉庆帝', '0.515447')
('恭王府+殿堂屋顶', '0.515234')
('小恭王溥伟+谷牧领导同志', '0.515105')
('宋易元吉聚猿图+此扇面', '0.515093')
('此处私宅+嘉庆', '0.514882')
('厉善麟祖父厉子嘉+谷牧领导同志', '0.514595')
('这座宅第+睿庙籍没', '0.514528')
('一座恭王府半部清朝史+戏楼南端明道斋', '0.514268')
('著名学者侯仁之先生+百名能工巧匠', '0.514192')
('利滚利+恭亲王', '0.513735')
('小恭王溥伟+嘉庆帝', '0.51366')
('恭王府+复辟', '0.513088')
('浩浩荡荡太监队伍+恭亲王', '0.512533')
('利滚利+曲径通幽', '0.511664')
('驸马+全部财富', '0.511144')
('东路前院正房名+恭王府几座主要厅堂内檐装修', '0.511137')
('亲王府+恭王府府邸前身', '0.511118')
('一座恭王府半部清朝史+宋易元吉聚猿图', '0.511073')
('厉善麟祖父厉子嘉+全部财富', '0.510591')
('浩浩荡荡太监队伍+这座宅第', '0.510456')
('嘉庆皇帝+厉子嘉任务', '0.510434')
('北京+溥伟', '0.510144')
('恭王府前半部+此处私宅', '0.509895')
('嘉乐堂+恭亲王奕忻', '0.509829')
('曲径通幽+康熙', '0.509704')
('中央政治局常委李岚清同志+周总理', '0.509338')
('一座恭王府半部清朝史+该寺院', '0.509315')
('这座宅第+乾隆五十四年固伦和孝公主', '0.509309')
('嘉庆帝+百名能工巧匠', '0.50892')
('府邸产权+东路后进院落正房名', '0.508759')
('厉子嘉+僧格林沁亲王', '0.508689')
('乾隆+殿堂屋顶', '0.508618')
('北京市+嘉庆', '0.508592')
('此处私宅+嘉乐堂', '0.507692')
('亲王府+谷牧领导同志', '0.507646')
('北京市+恭亲王', '0.507428')
('小恭王溥伟+恭王府和珅府邸恭王府', '0.507375')
('辅仁大学+乾隆', '0.507363')
('此扇面+复辟', '0.50732')
('周恩来总理+咸丰皇帝', '0.506763')
('周恩来总理+曲径通幽', '0.506515')
('八十年代初恭王府+府邸产权', '0.506284')
('恭王府以前主人+恭亲王', '0.506243')
('山中定次郎+恭王府以前主人', '0.506177')
('永璘+恭王府前半部', '0.506003')
('恭亲王七百件珍藏+全部财富', '0.505862')
('恭王府银安殿+嘉庆帝', '0.505846')
('东路前院正房名+乾隆五十四年固伦和孝公主', '0.505415')
('北京+嘉庆', '0.504977')
('此扇面+恭亲王', '0.504862')
('恭亲王七百件珍藏+此扇面', '0.504844')
('原国务院副总理李岚清同志+谷牧同志', '0.504833')
('恭王府几座主要厅堂内檐装修+奕訢', '0.504059')
('东路前院正房名+这座宅第', '0.503955')
('厉子嘉任务+整座府邸', '0.503724')
('驸马+恭亲王七百件珍藏', '0.503476')
('嘉庆皇帝+恭王府前身', '0.503326')
('恭王府几座主要厅堂内檐装修+睿庙籍没', '0.503253')
('嘉庆皇帝+我国十大元帅', '0.502965')
('浩浩荡荡太监队伍+谷牧领导同志', '0.50285')
('周总理+恭亲王七百件珍藏', '0.502793')
('百名能工巧匠+郭沫若人', '0.502782')
('恭王府府邸前身+恭亲王', '0.502213')
('乾隆五十四年固伦和孝公主+嘉庆帝', '0.502068')
('恭王府府邸前身+唐颜真卿告身帖', '0.501647')
('日本首相桥本龙太郎先生+谷牧领导同志', '0.501401')
('明显标志+嘉庆帝', '0.501246')
('恭王府府邸前身+睿庙籍没', '0.501092')
('中国音乐学院+谷牧领导同志', '0.500752')
('恭王府管理中心+戏楼南端明道斋', '0.500423')
('恭王府人+张嘴和珅', '0.500401')
('周总理+府邸', '0.500243')
('恭王府人+11月中央政治局常委李瑞环同志', '0.499794')
('其府邸建筑+恭王府以前主人', '0.499412')
('府邸+恭亲王奕忻', '0.499068')
('厉善麟祖父厉子嘉+原国务院副总理李岚清同志', '0.498893')
('府邸花园两部分+恭王府银安殿', '0.498639')
('编辑+此处私宅', '0.498415')
('恭王府+谷牧领导同志', '0.498058')
('周恩来总理+著名学者侯仁之先生', '0.498006')
('这座宅第+其府邸建筑', '0.498003')
('恭王府花园+东路后进院落正房名', '0.497938')
('恭王府+宋易元吉聚猿图', '0.497754')
('著名学者侯仁之先生+恭亲王七百件珍藏', '0.497675')
('东路前院正房名+恭王府以前主人', '0.497475')
('嘉庆皇帝+曲径通幽', '0.496577')
('厉善麟+恭王府前半部', '0.496514')
('咸丰皇帝+复辟', '0.496456')
('厉善麟祖父厉子嘉+府邸', '0.496451')
('该寺院+恭王府以前主人', '0.49566')
('其府邸建筑+殿堂屋顶', '0.49564')
('恭王府前身+我国十大元帅', '0.495405')
('僧格林沁亲王+嘉庆', '0.495132')
('谷牧领导同志+恭亲王奕忻', '0.494588')
('恭王府管理中心+原国务院副总理李岚清同志', '0.494394')
('恭王府前身+周总理', '0.494382')
('亲王府+日本首相桥本龙太郎先生', '0.494216')
('唐颜真卿告身帖+张嘴和珅', '0.494152')
('2008年恭王府+乾隆', '0.494081')
('浩浩荡荡太监队伍+嘉庆帝', '0.49401')
('中国+咸丰皇帝', '0.493774')
('睿庙籍没+恭亲王奕忻', '0.493768')
('恭王府人+周总理', '0.493581')
('谷牧领导同志+此处私宅', '0.493483')
('嘉庆帝+清代嘉庆年间礼亲王昭梿', '0.4932')
('恭王府管理中心+清代嘉庆年间礼亲王昭梿', '0.493128')
('山中定次郎+乾隆', '0.493118')
('宋易元吉聚猿图+张嘴和珅', '0.493037')
('整座府邸+康熙', '0.492859')
('郭沫若人+康熙', '0.49277')
('日本首相桥本龙太郎先生+恭王府', '0.492717')
('北京恭王府+一座恭王府半部清朝史', '0.492485')
('明显标志+嘉庆皇帝', '0.49234')
('亲王府+咸丰皇帝', '0.492257')
('政协委员+日本', '0.492226')
('政协委员+郭沫若人', '0.492192')
('厉家菜+咸丰皇帝', '0.492003')
('北京+恭亲王', '0.491729')
('厉子嘉任务+恭王府银安殿', '0.49164')
('戏楼南端明道斋+百名能工巧匠', '0.491542')
('其府邸建筑+嘉乐堂', '0.491479')
('利滚利+殿堂屋顶', '0.491236')
('山中定次郎+郭沫若人', '0.491203')
('整座府邸+恭王府和珅府邸恭王府', '0.49113')
('日本首相桥本龙太郎先生+谷牧同志', '0.49096')
('周恩来总理+府邸', '0.490662')
('北京报纸+厉家菜', '0.490186')
('乾隆五十四年固伦和孝公主+此扇面', '0.490132')
('八十年代初恭王府+康熙', '0.489781')
('其府邸建筑+嘉庆', '0.48918')
('11月中央政治局常委李瑞环同志+这座宅第', '0.488885')
('小恭王溥伟+谷牧同志', '0.488837')
('嘉庆帝+恭亲王奕忻', '0.488446')
('一座恭王府半部清朝史+亲王府', '0.4883')
('恭王府人+溥伟', '0.488058')
('谷牧领导同志+奕訢', '0.48805')
('周恩来总理+和珅', '0.487795')
('中央政治局常委李岚清同志+恭王府前身', '0.487712')
('明显标志+每路由', '0.487581')
('恭王府花园+僧格林沁亲王', '0.487335')
('意指和珅家财宝+恭王府和珅府邸恭王府', '0.487313')
('曲径通幽+郭沫若人', '0.487198')
('谷牧领导同志+此扇面', '0.486931')
('厉善麟祖父厉子嘉+日本', '0.486887')
('复辟+张嘴和珅', '0.486264')
('东路前院正房名+唐颜真卿告身帖', '0.486208')
('周恩来总理+殿堂屋顶', '0.486019')
('乾隆五十四年固伦和孝公主+恭王府花园', '0.485932')
('意指和珅家财宝+东路后进院落正房名', '0.485885')
('恭王府管理中心+意指和珅家财宝', '0.485497')
('小恭王溥伟+厉子嘉任务', '0.485453')
('睿庙籍没+嘉庆', '0.48543')
('乾隆五十四年固伦和孝公主+嘉乐堂', '0.485284')
('曲径通幽+恭亲王奕忻', '0.485139')
('亲王府+恭王府几座主要厅堂内檐装修', '0.485128')
('嘉庆皇帝+恭王府人', '0.485042')
('恭王府前身+唐颜真卿告身帖', '0.484997')
('周恩来总理+恭亲王七百件珍藏', '0.484945')
('明显标志+恭王府前身', '0.484935')
('明显标志+驸马', '0.484533')
('和珅+每路由', '0.484517')
('辅仁大学+咸丰皇帝', '0.484338')
('明显标志+日本首相桥本龙太郎先生', '0.483886')
('府邸+恭王府和珅府邸恭王府', '0.48379')
('中国音乐学院+嘉庆皇帝', '0.483748')
('咸丰皇帝+厉子嘉任务', '0.483693')
('原国务院副总理李岚清同志+东路后进院落正房名', '0.483557')
('府邸+殿堂屋顶', '0.483361')
('明显标志+著名学者侯仁之先生', '0.483174')
('厉善麟+我国十大元帅', '0.483072')
('中央政治局常委李岚清同志+谷牧同志', '0.48272')
('整座府邸+嘉庆', '0.482315')
('八十年代初恭王府+该寺院', '0.482199')
('谷牧同志+康熙', '0.481939')
('恭王府花园+府邸产权', '0.481846')
('厉善麟祖父厉子嘉+其府邸建筑', '0.481221')
('八十年代初恭王府+周总理', '0.481217')
('唐颜真卿告身帖+此处私宅', '0.48117')
('恭王府几座主要厅堂内檐装修+百名能工巧匠', '0.480599')
('恭王府管理中心+张嘴和珅', '0.480263')
('著名学者侯仁之先生+郭沫若人', '0.48004')
('恭王府人+永璘', '0.47996')
('永璘+府邸产权', '0.479911')
('八十年代初恭王府+嘉乐堂', '0.479769')
('日本+郭沫若人', '0.479707')
('其府邸建筑+此扇面', '0.479523')
('谷牧领导同志+恭王府银安殿', '0.479357')
('北京报纸+乾隆', '0.479272')
('小恭王溥伟+恭王府前身', '0.479213')
('小恭王溥伟+中央政治局常委李岚清同志', '0.479097')
('利滚利+每路由', '0.478684')
('恭王府人+这座宅第', '0.478459')
('小恭王溥伟+殿堂屋顶', '0.478459')
('谷牧领导同志+我国十大元帅', '0.478297')
('百名能工巧匠+此扇面', '0.478231')
('利滚利+僧格林沁亲王', '0.478201')
('恭王府花园+宋易元吉聚猿图', '0.478002')
('厉家菜+我国十大元帅', '0.477497')
('溥伟+日本', '0.47748')
('政协委员+和珅房屋', '0.477419')
('其府邸建筑+厉善麟', '0.477378')
('浩浩荡荡太监队伍+中央政治局常委李岚清同志', '0.477289')
('北京报纸+全部财富', '0.477276')
('政协委员+曲径通幽', '0.477028')
('嘉庆皇帝+2008年恭王府', '0.476849')
('亲王府+东路前院正房名', '0.476847')
('日本首相桥本龙太郎先生+奕訢', '0.476753')
('一座恭王府半部清朝史+此处私宅', '0.476639')
('山中定次郎+恭王府花园', '0.476601')
('原国务院副总理李岚清同志+恭王府', '0.476328')
('唐颜真卿告身帖+东路后进院落正房名', '0.475869')
('著名学者侯仁之先生+周总理', '0.475463')
('利滚利+咸丰皇帝', '0.4752')
('周总理+清代嘉庆年间礼亲王昭梿', '0.475014')
('僧格林沁亲王+此处私宅', '0.474964')
('北京报纸+利滚利', '0.474796')
('恭王府几座主要厅堂内檐装修+此处私宅', '0.474422')
('北京恭王府+恭王府几座主要厅堂内檐装修', '0.47356')
('恭王府前身+东路后进院落正房名', '0.473521')
('日本首相桥本龙太郎先生+康熙', '0.472582')
('其府邸建筑+恭王府前半部', '0.472401')
('乾隆五十四年固伦和孝公主+恭王府和珅府邸恭王府', '0.472268')
('周恩来总理+恭王府前半部', '0.472117')
('浩浩荡荡太监队伍+周总理', '0.472002')
('政协委员+嘉庆', '0.471999')
('和珅房屋+恭王府和珅府邸恭王府', '0.471802')
('恭王府前身+乾隆', '0.471297')
('恭王府人+和珅', '0.471253')
('府邸花园两部分+戏楼南端明道斋', '0.471087')
('明显标志+此处私宅', '0.471045')
('恭王府和珅府邸恭王府+恭亲王奕忻', '0.471018')
('和珅房屋+整座府邸', '0.471009')
('原国务院副总理李岚清同志+殿堂屋顶', '0.470859')
('北京恭王府+小恭王溥伟', '0.47053')
('八十年代初恭王府+厉子嘉', '0.470303')
('永璘+2008年恭王府', '0.470287')
('睿庙籍没+嘉庆帝', '0.470273')
('厉子嘉+北京报纸', '0.470262')
('山中定次郎+政协委员', '0.47017')
('永璘+其府邸建筑', '0.469745')
('恭亲王七百件珍藏+嘉庆', '0.469716')
('日本+驸马', '0.46952')
('著名学者侯仁之先生+曲径通幽', '0.469275')
('11月中央政治局常委李瑞环同志+2008年恭王府', '0.46915')
('北京报纸+编辑', '0.469005')
('厉子嘉任务+恭亲王奕忻', '0.468961')
('该寺院+这座宅第', '0.468756')
('一座恭王府半部清朝史+东路后进院落正房名', '0.468635')
('八十年代初恭王府+谷牧领导同志', '0.468588')
('山中定次郎+恭王府府邸前身', '0.468501')
('山中定次郎+嘉庆', '0.468499')
('中国+台北故宫', '0.468386')
('小恭王溥伟+其府邸建筑', '0.468344')
('中国音乐学院+山中定次郎', '0.468279')
('中国音乐学院+恭王府主人奕䜣', '0.468279')
('这座宅第+中国', '0.46807')
('永璘+郭沫若人', '0.468068')
('台北故宫+乾隆', '0.468045')
('厉子嘉任务+恭王府前半部', '0.467762')
('恭王府花园+唐颜真卿告身帖', '0.46761')
('咸丰皇帝+和珅', '0.467547')
('山中定次郎+原国务院副总理李岚清同志', '0.467416')
('东路后进院落正房名+郭沫若人', '0.467366')
('恭王府银安殿+嘉庆', '0.467191')
('日本首相桥本龙太郎先生+东路后进院落正房名', '0.467079')
('东路前院正房名+意指和珅家财宝', '0.466975')
('宋易元吉聚猿图+全部财富', '0.466593')
('北京+谷牧同志', '0.466242')
('中央政治局常委李岚清同志+僧格林沁亲王', '0.466229')
('曲径通幽+整座府邸', '0.466034')
('中国音乐学院+恭王府人', '0.465917')
('北京+厉子嘉任务', '0.465909')
('周总理+睿庙籍没', '0.465766')
('厉子嘉+浩浩荡荡太监队伍', '0.46574')
('府邸+恭亲王七百件珍藏', '0.465699')
('浩浩荡荡太监队伍+嘉乐堂', '0.465691')
('睿庙籍没+唐颜真卿告身帖', '0.465437')
('这座宅第+恭亲王', '0.465358')
('小恭王溥伟+郭沫若人', '0.46522')
('这批紫檀家具+此处私宅', '0.464927')
('和珅房屋+嘉庆', '0.464746')
('中国音乐学院+该寺院', '0.46471')
('该寺院+东路后进院落正房名', '0.46458')
('百名能工巧匠+唐颜真卿告身帖', '0.464459')
('中央政治局常委李岚清同志+清代嘉庆年间礼亲王昭梿', '0.464361')
('中国音乐学院+府邸', '0.464358')
('利滚利+谷牧领导同志', '0.464247')
('日本首相桥本龙太郎先生+曲径通幽', '0.464219')
('中国+整座府邸', '0.46419')
('整座府邸+张嘴和珅', '0.46406')
('府邸花园两部分+恭亲王七百件珍藏', '0.463985')
('厉子嘉+东路前院正房名', '0.463966')
('东路前院正房名+厉善麟', '0.463966')
('编辑+此扇面', '0.463782')
('政协委员+溥伟', '0.463222')
('北京市+康熙', '0.463185')
('僧格林沁亲王+台北故宫', '0.46252')
('11月中央政治局常委李瑞环同志+周总理', '0.462208')
('永璘+我国十大元帅', '0.462159')
('周总理+和珅', '0.462121')
('政协委员+乾隆', '0.461999')
('恭王府几座主要厅堂内檐装修+这座宅第', '0.461934')
('小恭王溥伟+曲径通幽', '0.461671')
('著名学者侯仁之先生+殿堂屋顶', '0.461468')
('恭王府前半部+张嘴和珅', '0.461468')
('该寺院+周总理', '0.461384')
('周总理+意指和珅家财宝', '0.461253')
('著名学者侯仁之先生+恭王府管理处', '0.461004')
('辅仁大学+厉子嘉任务', '0.460852')
('浩浩荡荡太监队伍+复辟', '0.46083')
('恭亲王七百件珍藏+此处私宅', '0.460724')
('厉子嘉任务+郭沫若人', '0.460576')
('日本+殿堂屋顶', '0.46043')
('永璘+清代嘉庆年间礼亲王昭梿', '0.460388')
('嘉庆皇帝+乾隆五十四年固伦和孝公主', '0.460314')
('编辑+这座宅第', '0.460113')
('谷牧同志+整座府邸', '0.460096')
('永璘+东路后进院落正房名', '0.460048')
('明显标志+浩浩荡荡太监队伍', '0.459665')
('北京报纸+政协委员', '0.45953')
('嘉庆皇帝+整座府邸', '0.459337')
('恭王府以前主人+意指和珅家财宝', '0.459336')
('其府邸建筑+和珅', '0.459169')
('我国十大元帅+清代嘉庆年间礼亲王昭梿', '0.458822')
('中国音乐学院+厉子嘉任务', '0.458671')
('恭王府银安殿+谷牧同志', '0.45832')
('府邸产权+嘉庆帝', '0.458271')
('意指和珅家财宝+恭亲王奕忻', '0.457953')
('东路后进院落正房名+清代嘉庆年间礼亲王昭梿', '0.457953')
('北京市+恭王府', '0.457948')
('和珅+谷牧同志', '0.457647')
('恭亲王奕忻+我国十大元帅', '0.457634')
('明显标志+恭王府几座主要厅堂内檐装修', '0.457493')
('厉子嘉任务+恭王府', '0.457479')
('僧格林沁亲王+康熙', '0.457442')
('编辑+驸马', '0.457358')
('恭亲王七百件珍藏+康熙', '0.457135')
('中国音乐学院+曲径通幽', '0.456649')
('小恭王溥伟+东路后进院落正房名', '0.456591')
('小恭王溥伟+我国十大元帅', '0.456338')
('恭王府人+咸丰皇帝', '0.456291')
('恭亲王+张嘴和珅', '0.455969')
('编辑+谷牧领导同志', '0.455881')
('中国+和珅房屋', '0.455876')
('意指和珅家财宝+唐颜真卿告身帖', '0.455732')
('利滚利+宋易元吉聚猿图', '0.455704')
('山中定次郎+谷牧同志', '0.455473')
('郭沫若人+嘉庆', '0.455381')
('北京市+谷牧同志', '0.455154')
('恭王府管理处+宋易元吉聚猿图', '0.45512')
('戏楼南端明道斋+其府邸建筑', '0.454862')
('府邸花园两部分+原国务院副总理李岚清同志', '0.454856')
('厉子嘉任务+谷牧领导同志', '0.454582')
('其府邸建筑+恭亲王七百件珍藏', '0.454403')
('一座恭王府半部清朝史+其府邸建筑', '0.454339')
('恭王府以前主人+谷牧领导同志', '0.454301')
('此扇面+嘉乐堂', '0.45399')
('周恩来总理+其府邸建筑', '0.453958')
('11月中央政治局常委李瑞环同志+厉善麟祖父厉子嘉', '0.453906')
('厉子嘉任务+此扇面', '0.453643')
('11月中央政治局常委李瑞环同志+政协委员', '0.453605')
('咸丰皇帝+恭王府银安殿', '0.453508')
('恭王府管理中心+中央政治局常委李岚清同志', '0.45349')
('恭亲王+此处私宅', '0.453371')
('亲王府+恭王府以前主人', '0.453361')
('台北故宫+恭亲王', '0.453251')
('厉家菜+原国务院副总理李岚清同志', '0.453186')
('驸马+整座府邸', '0.453129')
('八十年代初恭王府+嘉庆皇帝', '0.452249')
('嘉庆皇帝+郭沫若人', '0.452106')
('府邸+曲径通幽', '0.451948')
('中国+宋易元吉聚猿图', '0.451923')
('著名学者侯仁之先生+整座府邸', '0.451919')
('山中定次郎+府邸', '0.451549')
('中国音乐学院+厉善麟祖父厉子嘉', '0.45126')
('戏楼南端明道斋+府邸产权', '0.451048')
('恭王府人+我国十大元帅', '0.450799')
('中国音乐学院+和珅', '0.450509')
('百名能工巧匠+恭亲王奕忻', '0.450374')
('北京+曲径通幽', '0.450362')
('这座宅第+清代嘉庆年间礼亲王昭梿', '0.450272')
('这座宅第+嘉庆', '0.450175')
('北京恭王府+日本', '0.45014')
('恭王府+我国十大元帅', '0.449951')
('嘉庆皇帝+其府邸建筑', '0.449752')
('驸马+唐颜真卿告身帖', '0.449747')
('恭王府花园+殿堂屋顶', '0.449744')
('小恭王溥伟+2008年恭王府', '0.449731')
('其府邸建筑+清代嘉庆年间礼亲王昭梿', '0.449708')
('乾隆五十四年固伦和孝公主+百名能工巧匠', '0.449585')
('恭王府人+百名能工巧匠', '0.449566')
('乾隆+张嘴和珅', '0.449538')
('恭王府前身+谷牧领导同志', '0.449475')
('厉善麟祖父厉子嘉+恭王府府邸前身', '0.449393')
('2008年恭王府+恭亲王', '0.449389')
('府邸花园两部分+小恭王溥伟', '0.448976')
('辅仁大学+宋易元吉聚猿图', '0.448958')
('中国+此处私宅', '0.448374')
('恭王府前身+张嘴和珅', '0.448334')
('曲径通幽+此扇面', '0.448178')
('意指和珅家财宝+恭王府管理处', '0.448156')
('辅仁大学+曲径通幽', '0.448132')
('意指和珅家财宝+奕訢', '0.448067')
('台北故宫+康熙', '0.448042')
('永璘+著名学者侯仁之先生', '0.448016')
('和珅+全部财富', '0.447755')
('恭王府管理中心+整座府邸', '0.447683')
('该寺院+原国务院副总理李岚清同志', '0.447652')
('厉子嘉任务+恭亲王七百件珍藏', '0.447106')
('和珅房屋+恭亲王', '0.446723')
('僧格林沁亲王+整座府邸', '0.446496')
('宋易元吉聚猿图+嘉庆', '0.446452')
('八十年代初恭王府+溥伟', '0.44626')
('中国音乐学院+整座府邸', '0.446236')
('驸马+此处私宅', '0.445604')
('恭王府人+嘉庆帝', '0.445398')
('恭王府管理中心+其府邸建筑', '0.445143')
('小恭王溥伟+府邸', '0.444833')
('编辑+百名能工巧匠', '0.444817')
('恭王府以前主人+张嘴和珅', '0.444773')
('中国+恭亲王七百件珍藏', '0.444723')
('一座恭王府半部清朝史+厉家菜', '0.444426')
('恭王府+清代嘉庆年间礼亲王昭梿', '0.444115')
('恭王府前身+殿堂屋顶', '0.444035')
('乾隆五十四年固伦和孝公主+复辟', '0.443584')
